"geo_entity2","order","qD","qD.LCL","qD.UCL"
"Hawai'i Island",0,9.73528,9.290508,10.2071425
"Hawai'i Island",1,3.72333,3.46402725,3.98536825
"Hawai'i Island",2,2.74035,2.5533005,2.9477835
"Kaua'i Island",0,29.05021,28.02583025,30.14534425
"Kaua'i Island",1,6.93261,6.701098,7.18454725
"Kaua'i Island",2,4.22685,4.09493725,4.35370775
"Maui Nui",0,13.19308,12.6362355,13.75318725
"Maui Nui",1,4.51964,4.33442325,4.702513
"Maui Nui",2,3.30606,3.1780155,3.43495525
"O'ahu Island",0,16.27138,15.62843475,16.81857175
"O'ahu Island",1,4.33317,4.0553875,4.59029025
"O'ahu Island",2,3.12338,2.88790425,3.343344
