"Location","Rarefy","S","se"
"Hawai'i Island","N100",13.8654674598937,2.03127133088431
"Hawai'i Island","N1000",29.5933417885169,2.08457083011843
"Hawai'i Island","N10000",43.0903935859768,1.95411460117179
"Hawai'i Island","all",56,0
"Kaua'i Island","N100",15.5886012340624,2.18037351046749
"Kaua'i Island","N1000",35.077610253874,2.17097795806074
"Kaua'i Island","N10000",43.9916956412705,0.0910845345128407
"Kaua'i Island","all",44,0
"Maui Nui","N100",12.3258331957962,2.16130509859903
"Maui Nui","N1000",31.2615096673553,2.38121488611145
"Maui Nui","N10000",49.5906639107256,2.10350117864239
"Maui Nui","all",58,0
"O'ahu Island","N100",10.6817563319156,1.58543907329659
"O'ahu Island","N1000",21.4919136546084,1.64928028212093
"O'ahu Island","N10000",26.9760727812805,0.15431074636244
"O'ahu Island","all",27,0
