"geo_entity2","Partition","Mean","Lower","Upper"
"Hawai'i Island","adjr2_env",0.143015872595993,0.0916364258529795,0.189746157335922
"Hawai'i Island","adjr2_env_space",0.152318416550995,0.0747754505324123,0.228633240828188
"Hawai'i Island","adjr2_space",0.0660456606061724,0.0175947088030145,0.122834419605372
"Kaua'i Island","adjr2_env",0.0890676003642623,0.0428685262642617,0.137967642390944
"Kaua'i Island","adjr2_env_space",0.123728301785924,0.0569939602520777,0.195688555931215
"Kaua'i Island","adjr2_space",0.166257740832082,0.116290440767878,0.215396521899035
"Maui Nui","adjr2_env",0.0411527689105476,0.000404614539847737,0.0825577951441099
"Maui Nui","adjr2_env_space",0.164586768542752,0.0858873564909212,0.243004868881714
"Maui Nui","adjr2_space",0.122034648396076,0.0648907156897957,0.172664459842578
"O'ahu Island","adjr2_env",0.115318625375385,0.0720077412280505,0.160883570177027
"O'ahu Island","adjr2_env_space",0.0352662629666193,-0.0441438394688932,0.113844616845901
"O'ahu Island","adjr2_space",-0.0470831913138502,-0.0882785161152911,-0.00723092875444084
