"geo_entity2","Scen_Order","Scenario","order","qD","qD.LCL","qD.UCL","geo_order"
"Hawai'i","Het+Age_0","Het+Age","0",8.6923,8.14760425,9.23347825,"Hawai'i_0"
"Maui Nui","Het+Age_0","Het+Age","0",11.60019,10.88148625,12.291691,"Maui Nui_0"
"O'ahu","Het+Age_0","Het+Age","0",12.99816,12.38186975,13.65187675,"O'ahu_0"
"Kaua'i","Het+Age_0","Het+Age","0",20.89418,19.52601125,22.2292155,"Kaua'i_0"
"Hawai'i","Age_0","Age","0",8.64701,8.10057775,9.19368625,"Hawai'i_0"
"Maui Nui","Age_0","Age","0",11.51748,10.99035725,12.054004,"Maui Nui_0"
"O'ahu","Age_0","Age","0",13.5166,12.78950675,14.217027,"O'ahu_0"
"Kaua'i","Age_0","Age","0",24.26152,22.78958375,25.6438195,"Kaua'i_0"
"Hawai'i","Het+Age_1","Het+Age","1",3.49171,3.20483925,3.772164,"Hawai'i_1"
"Maui Nui","Het+Age_1","Het+Age","1",4.30496,4.08709625,4.527805,"Maui Nui_1"
"O'ahu","Het+Age_1","Het+Age","1",3.70416,3.4384025,3.9746865,"O'ahu_1"
"Kaua'i","Het+Age_1","Het+Age","1",5.75283,5.4553565,6.0914155,"Kaua'i_1"
"Hawai'i","Age_1","Age","1",3.40828,3.16039675,3.65499625,"Hawai'i_1"
"Maui Nui","Age_1","Age","1",4.27022,4.068929,4.4652465,"Maui Nui_1"
"O'ahu","Age_1","Age","1",4.00601,3.71734975,4.282068,"O'ahu_1"
"Kaua'i","Age_1","Age","1",6.43944,6.01228125,6.93967125,"Kaua'i_1"
"Hawai'i","Het+Age_2","Het+Age","2",2.65715,2.43102475,2.92243275,"Hawai'i_2"
"Maui Nui","Het+Age_2","Het+Age","2",3.04453,2.890086,3.19922025,"Maui Nui_2"
"O'ahu","Het+Age_2","Het+Age","2",2.75797,2.5549685,2.96327,"O'ahu_2"
"Kaua'i","Het+Age_2","Het+Age","2",3.70689,3.5325765,3.870623,"Kaua'i_2"
"Hawai'i","Age_2","Age","2",2.62394,2.42850475,2.8329375,"Hawai'i_2"
"Maui Nui","Age_2","Age","2",3.16798,3.03233325,3.3080425,"Maui Nui_2"
"O'ahu","Age_2","Age","2",2.91986,2.71952225,3.13977675,"O'ahu_2"
"Kaua'i","Age_2","Age","2",3.90069,3.69498,4.146316,"Kaua'i_2"
